AUROC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,Threshold,Disease,Repeat,Fold
0.8973214285714286,0.9994979439029764,0.22666666666666666,0.6116071428571429,1.0,0.22321428571428573,1.0,0.36496350364963503,1.0,CLL,1,1
,,0.5803571428571429,0.5803571428571429,1.0,0.5803571428571429,,0.7344632768361582,0.5473051071166992,CLL,1,2
0.48214285714285715,0.9953952167923569,0.96,0.48214285714285715,0.9953917050691244,0.9642857142857143,0.0,0.9795918367346939,1.0,CLL,2,1
,,0.7633928571428571,0.7633928571428571,1.0,0.7633928571428571,,0.8658227848101265,0.47392943501472473,CLL,2,2
0.4799107142857143,0.995376024940757,0.9555555555555556,0.4799107142857143,0.9953703703703703,0.9598214285714286,0.0,0.9772727272727273,1.0,CLL,3,1
,,0.2767857142857143,0.2767857142857143,1.0,0.2767857142857143,,0.43356643356643354,0.7862415909767151,CLL,3,2
0.8683035714285714,0.9992156196948119,0.8355555555555556,0.9174107142857143,1.0,0.8348214285714286,1.0,0.9099756690997567,1.0,CLL,4,1
,,0.4732142857142857,0.4732142857142857,1.0,0.4732142857142857,,0.6424242424242425,0.5819610953330994,CLL,4,2
0.8415178571428572,0.9992238690394514,0.5022222222222222,0.75,1.0,0.5,1.0,0.6666666666666666,1.0,CLL,5,1
,,0.5848214285714286,0.5848214285714286,1.0,0.5848214285714286,,0.7380281690140845,0.5111010074615479,CLL,5,2
0.9441964285714286,0.9997349193426053,0.5511111111111111,0.7745535714285714,1.0,0.5491071428571429,1.0,0.7089337175792507,1.0,CLL,6,1
,,0.9151785714285714,0.9151785714285714,1.0,0.9151785714285714,,0.9557109557109557,0.44976508617401123,CLL,6,2
0.7924107142857142,0.9989584212719792,0.3511111111111111,0.6741071428571428,1.0,0.3482142857142857,1.0,0.5165562913907285,1.0,CLL,7,1
,,0.4375,0.4375,1.0,0.4375,,0.6086956521739131,0.6565746665000916,CLL,7,2
0.9129464285714286,0.9994618346136442,0.8844444444444445,0.9419642857142857,1.0,0.8839285714285714,1.0,0.9383886255924171,1.0,CLL,8,1
,,0.38839285714285715,0.38839285714285715,1.0,0.38839285714285715,,0.5594855305466238,0.6489335298538208,CLL,8,2
