AUROC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,Threshold,Disease,Repeat,Fold
0.5652059826817109,0.7897414369773731,0.6928571428571428,0.4968512201521911,0.734375,0.912621359223301,0.08108108108108109,0.8138528138528138,0.2773377597332001,MDS,1,1
0.5436893203883495,0.7638205202741489,0.4460431654676259,0.4906957928802589,0.7321428571428571,0.39805825242718446,0.5833333333333334,0.5157232704402516,0.5036477446556091,MDS,1,2
0.4770401469430596,0.7003589555202715,0.2785714285714286,0.43177643663080556,0.55,0.10679611650485436,0.7567567567567568,0.17886178861788618,0.7516106963157654,MDS,2,1
0.41316073354908306,0.7143163569444033,0.4316546762589928,0.4809870550161812,0.7222222222222222,0.3786407766990291,0.5833333333333334,0.4968152866242038,0.569218099117279,MDS,2,2
0.5247966413014956,0.7344949446203615,0.6642857142857143,0.5640251902387825,0.7692307692307693,0.7766990291262136,0.35135135135135137,0.7729468599033816,0.30475425720214844,MDS,3,1
0.436353829557713,0.6861760951590676,0.6402877697841727,0.49528047464940667,0.7387387387387387,0.7961165048543689,0.19444444444444445,0.7663551401869159,0.2293083667755127,MDS,3,2
0.5400157438992391,0.7544516700187731,0.7,0.5363421674101286,0.7520661157024794,0.883495145631068,0.1891891891891892,0.8125,0.24032680690288544,MDS,4,1
0.3878101402373247,0.674029461105437,0.460431654676259,0.42812837108953616,0.6891891891891891,0.49514563106796117,0.3611111111111111,0.576271186440678,0.5328812599182129,MDS,4,2
0.5969561794804513,0.7814783018583484,0.7071428571428572,0.5411965363421675,0.7540983606557377,0.8932038834951457,0.1891891891891892,0.8177777777777778,0.2715350091457367,MDS,5,1
0.3608414239482201,0.6508597355170094,0.7266187050359713,0.5083603020496225,0.7443609022556391,0.9611650485436893,0.05555555555555555,0.8389830508474576,0.1502671241760254,MDS,5,2
0.4647074258724744,0.6909109814047387,0.2785714285714286,0.3798215691419575,0.53125,0.1650485436893204,0.5945945945945946,0.2518518518518518,0.675408124923706,MDS,6,1
0.5455771305285868,0.7944731444658453,0.6618705035971223,0.482740021574973,0.7333333333333333,0.8543689320388349,0.1111111111111111,0.7892376681614349,0.3081884980201721,MDS,6,2
0.4612962477040147,0.7035265688302885,0.2357142857142857,0.44594594594594594,0.0,0.0,0.8918918918918919,0.0,0.9379053711891174,MDS,7,1
0.4341963322545847,0.7226840557252588,0.4028776978417266,0.41639697950377563,0.6666666666666666,0.3883495145631068,0.4444444444444444,0.49079754601226994,0.5613433122634888,MDS,7,2
0.49173445289950146,0.7112132833217577,0.35,0.4110469692993965,0.6304347826086957,0.2815533980582524,0.5405405405405406,0.38926174496644295,0.6229973435401917,MDS,8,1
0.4358144552319309,0.7026938561357958,0.5179856115107914,0.4308252427184466,0.7,0.6116504854368932,0.25,0.6528497409326425,0.3620281219482422,MDS,8,2
0.4549986880083967,0.6983429857532303,0.2571428571428571,0.46916819732353715,0.4,0.019417475728155338,0.918918918918919,0.037037037037037035,0.9574891924858093,MDS,9,1
0.418554476806904,0.7137423174412435,0.7338129496402878,0.5041801510248112,0.7426470588235294,0.9805825242718447,0.027777777777777776,0.8451882845188284,0.025477780029177666,MDS,9,2
0.5707163474153766,0.7878760540278322,0.4785714285714286,0.5244030438205195,0.7586206896551724,0.42718446601941745,0.6216216216216216,0.546583850931677,0.5041797161102295,MDS,10,1
