AUROC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,Threshold,Disease,Repeat,Fold
0.7076756756756756,0.935052807597428,0.6794425087108014,0.6778378378378378,0.9340659340659341,0.68,0.6756756756756757,0.7870370370370371,0.5096226334571838,AML,1,1
0.6882470119521913,0.9298971004873636,0.6236933797909407,0.6183045595396193,0.9181286549707602,0.6254980079681275,0.6111111111111112,0.7440758293838863,0.46775782108306885,AML,1,2
0.6405405405405404,0.9079011323084827,0.5679442508710801,0.5908108108108108,0.9090909090909091,0.56,0.6216216216216216,0.693069306930693,0.5178433060646057,AML,2,1
0.7115980522355023,0.9429506462580233,0.8292682926829268,0.5692784417884019,0.8914728682170543,0.9163346613545816,0.2222222222222222,0.9037328094302554,0.3020467460155487,AML,2,2
0.632972972972973,0.9151129888454949,0.6341463414634146,0.6057837837837838,0.9096045197740112,0.644,0.5675675675675675,0.7540983606557377,0.4161204397678375,AML,3,1
0.5296591412129261,0.878568070563658,0.5609756097560976,0.5705511288180611,0.9032258064516129,0.5577689243027888,0.5833333333333334,0.6896551724137931,0.5105490684509277,AML,3,2
0.6962162162162162,0.9282959130970744,0.6411149825783972,0.6443243243243244,0.9248554913294798,0.64,0.6486486486486487,0.7565011820330969,0.4388633668422699,AML,4,1
0.7119300575475874,0.9430562177563724,0.686411149825784,0.6660579902611775,0.93048128342246,0.6932270916334662,0.6388888888888888,0.7945205479452054,0.5431685447692871,AML,4,2
0.6930810810810811,0.9314064980812533,0.7421602787456446,0.6332432432432433,0.9112149532710281,0.78,0.4864864864864865,0.8405172413793104,0.29603826999664307,AML,5,1
0.6757414785303232,0.9320890755282323,0.7456445993031359,0.6166445329791943,0.908256880733945,0.7888446215139442,0.4444444444444444,0.8443496801705757,0.473705917596817,AML,5,2
0.6483243243243243,0.9147119162611359,0.5609756097560976,0.5868108108108108,0.9078947368421053,0.552,0.6216216216216216,0.6865671641791045,0.5692614912986755,AML,6,1
0.7062859672421425,0.9395081791388,0.7700348432055749,0.6186918990703851,0.9074889867841409,0.8207171314741036,0.4166666666666667,0.8619246861924686,0.3610168695449829,AML,6,2
0.7229189189189189,0.9381499776184532,0.6585365853658537,0.6543243243243244,0.9269662921348315,0.66,0.6486486486486487,0.7710280373831776,0.5785629153251648,AML,7,1
0.6396635679504205,0.9214263538282248,0.6480836236933798,0.5608676405489155,0.8947368421052632,0.6772908366533864,0.4444444444444444,0.7709750566893424,0.4054460823535919,AML,7,2
0.6242162162162161,0.9081014573177917,0.5574912891986062,0.5732972972972974,0.9019607843137255,0.552,0.5945945945945946,0.684863523573201,0.4961347281932831,AML,8,1
0.5763612217795484,0.9025088820105018,0.7526132404181185,0.5254537405931828,0.8813559322033898,0.8286852589641435,0.2222222222222222,0.8542094455852156,0.3404291272163391,AML,8,2
0.650054054054054,0.9192159496853902,0.5644599303135889,0.5888108108108108,0.9084967320261438,0.556,0.6216216216216216,0.6898263027295285,0.5209383368492126,AML,9,1
0.6196325807879594,0.9212500800047148,0.710801393728223,0.549136786188579,0.8888888888888888,0.7649402390438247,0.3333333333333333,0.8222698072805139,0.2750740349292755,AML,9,2
0.8540540540540541,0.9728719931875759,0.7038327526132404,0.7724324324324325,0.9714285714285714,0.68,0.8648648648648649,0.8,0.535076379776001,AML,10,1
0.8266932270916335,0.9708088388844973,0.7874564459930313,0.7357237715803453,0.9439252336448598,0.8047808764940239,0.6666666666666666,0.8688172043010752,0.46224215626716614,AML,10,2
0.4544864864864865,0.8583058934806463,0.7909407665505227,0.4885405405405405,0.8682170542635659,0.896,0.08108108108108109,0.8818897637795275,0.2043008655309677,AML,11,1
0.6301460823373174,0.915113055453391,0.6759581881533101,0.5411133244798584,0.8872549019607843,0.7211155378486056,0.3611111111111111,0.7956043956043956,0.41910725831985474,AML,11,2
0.7212972972972973,0.9388378032436022,0.5261324041811847,0.6474054054054055,0.9453125,0.484,0.8108108108108109,0.6402116402116402,0.6281561255455017,AML,12,1
0.7010845506861444,0.9331904710135416,0.686411149825784,0.6422642762284196,0.9214659685863874,0.701195219123506,0.5833333333333334,0.7963800904977375,0.4348222017288208,AML,12,2
0.7692972972972973,0.9606892007299092,0.6445993031358885,0.7154054054054054,0.9567901234567902,0.62,0.8108108108108109,0.7524271844660194,0.5216056108474731,AML,13,1
0.7606241699867198,0.9498216826949043,0.627177700348432,0.6797808764940239,0.9444444444444444,0.6095617529880478,0.75,0.7409200968523002,0.556249737739563,AML,13,2
0.6875675675675675,0.9341281085888429,0.759581881533101,0.5856756756756757,0.8951965065502183,0.82,0.35135135135135137,0.8559498956158664,0.366714209318161,AML,14,1
